,WER,time
0,10.0,8.56
100,30.0,0.13
200,20.0,0.24
300,30.0,0.25
400,30.0,0.29
500,30.0,0.37
600,30.0,0.41
700,30.0,0.48
800,30.0,0.56
900,30.0,0.59
1000,30.0,0.65
1100,30.0,0.7
1200,30.0,0.76
1300,30.0,0.83
1400,30.0,0.88
1500,30.0,0.92
1600,30.0,1.0
1700,30.0,1.07
1800,30.0,1.13
1900,30.0,1.18
2000,30.0,1.25
2100,20.0,1.3
2200,20.0,1.42
2300,20.0,1.45
2400,20.0,1.55
2500,20.0,1.62
2600,10.0,1.75
2700,10.0,1.81
2800,10.0,1.94
2900,10.0,1.95
3000,10.0,2.07
3100,10.0,2.07
3200,10.0,2.25
3300,10.0,2.48
3400,10.0,2.38
3500,10.0,2.47
3600,10.0,2.65
3700,0.0,2.73
3800,0.0,2.94
3900,0.0,3.08
4000,0.0,3.16
4100,0.0,3.14
4200,0.0,3.26
4300,0.0,3.34
4400,0.0,3.43
4500,0.0,3.51
4600,0.0,3.62
4700,0.0,3.6
4800,0.0,3.78
4900,0.0,3.83
5000,0.0,3.95
5100,0.0,4.12
5200,0.0,4.09
5300,0.0,4.25
5400,0.0,4.28
5500,0.0,4.39
5600,0.0,4.44
5700,0.0,4.46
5800,0.0,4.64
5900,0.0,4.58
6000,0.0,4.69
6100,0.0,4.75
6200,0.0,4.78
6300,0.0,4.93
6400,0.0,4.89
6500,0.0,5.03
6600,0.0,5.22
6700,0.0,5.13
6800,0.0,5.34
6900,0.0,5.28
7000,0.0,5.75
7100,0.0,6.08
7200,0.0,6.05
7300,0.0,5.52
7400,0.0,5.56
7500,0.0,5.7
7600,0.0,5.72
7700,0.0,5.87
7800,0.0,5.94
7900,0.0,6.46
8000,0.0,7.5
8100,0.0,7.2
8200,0.0,6.67
8300,0.0,6.56
8400,0.0,6.39
8500,0.0,6.4
8600,0.0,6.7
8700,0.0,6.62
8800,0.0,6.4
8900,0.0,6.61
9000,0.0,6.74
9100,0.0,6.97
9200,0.0,6.83
9300,0.0,6.75
9400,0.0,6.7
9500,0.0,6.71
9600,0.0,6.75
9700,0.0,6.73
9800,0.0,6.93
9900,0.0,6.77
