,WER,time
0,10.0,9.12
100,30.0,0.15
200,20.0,0.25
300,30.0,0.24
400,30.0,0.29
500,30.0,0.35
600,30.0,0.45
700,30.0,0.48
800,30.0,0.61
900,30.0,0.59
1000,30.0,0.65
1100,30.0,0.69
1200,30.0,0.75
1300,30.0,0.77
1400,30.0,0.88
1500,30.0,0.9
1600,30.0,0.99
1700,30.0,1.19
1800,30.0,1.26
1900,30.0,1.3
2000,30.0,1.36
2100,20.0,1.43
2200,20.0,1.57
2300,20.0,1.58
2400,20.0,1.69
2500,20.0,1.76
2600,10.0,1.9
2700,10.0,1.99
2800,10.0,2.11
2900,10.0,2.13
3000,10.0,2.29
3100,10.0,2.32
3200,10.0,2.44
3300,10.0,2.5
3400,10.0,2.59
3500,10.0,2.75
3600,10.0,2.83
3700,0.0,2.91
3800,0.0,3.16
3900,0.0,3.23
4000,0.0,3.4
4100,0.0,3.45
4200,0.0,3.5
4300,0.0,3.66
4400,0.0,3.67
4500,0.0,3.7
4600,0.0,3.85
4700,0.0,3.85
4800,0.0,4.0
4900,0.0,4.11
5000,0.0,4.29
5100,0.0,4.38
5200,0.0,4.57
5300,0.0,4.48
5400,0.0,4.63
5500,0.0,4.67
5600,0.0,4.86
5700,0.0,4.83
5800,0.0,4.9
5900,0.0,4.99
6000,0.0,5.03
6100,0.0,5.07
6200,0.0,5.23
6300,0.0,5.25
6400,0.0,5.37
6500,0.0,5.95
6600,0.0,8.65
6700,0.0,6.63
6800,0.0,7.49
6900,0.0,6.72
7000,0.0,6.06
7100,0.0,6.05
7200,0.0,7.46
7300,0.0,6.52
7400,0.0,7.36
7500,0.0,6.08
7600,0.0,6.8
7700,0.0,6.27
7800,0.0,7.73
7900,0.0,7.91
8000,0.0,7.85
8100,0.0,7.35
8200,0.0,7.21
8300,0.0,7.46
8400,0.0,7.85
8500,0.0,7.81
8600,0.0,7.04
8700,0.0,7.2
8800,0.0,6.7
8900,0.0,6.72
9000,0.0,6.98
9100,0.0,6.98
9200,0.0,6.96
9300,0.0,6.83
9400,0.0,6.94
9500,0.0,6.86
9600,0.0,6.9
9700,0.0,6.96
9800,0.0,6.99
9900,0.0,7.0
